[09-04-23 23:27:19.818][info] Init chat system....
[09-04-23 23:27:19.818][info] Mode: multiplayer.
[09-04-23 23:27:19.818][info] Chat owner: AkaMadafaka.
[09-04-23 23:38:14.947][info] Got message from server: ChatMessage{chat=Local, author='USSR', text='OVER HERE!'}.
[09-04-23 23:38:15.235][info] Got message from server: ChatMessage{chat=Local, author='USSR', text='HEY YOU!'}.
[09-04-23 23:38:15.440][info] Got message from server: ChatMessage{chat=Local, author='USSR', text='OVER HERE!'}.
[09-04-23 23:38:15.690][info] Got message from server: ChatMessage{chat=Local, author='USSR', text='HEY YOU!'}.
[09-04-23 23:38:15.952][info] Got message from server: ChatMessage{chat=Local, author='USSR', text='OVER HERE!'}.
[09-04-23 23:38:16.586][info] Got message from server: ChatMessage{chat=Local, author='USSR', text='HEY YOU!'}.
[09-04-23 23:38:16.962][info] Got message from server: ChatMessage{chat=Local, author='USSR', text='OVER HERE!'}.
[09-04-23 23:38:17.270][info] Got message from server: ChatMessage{chat=Local, author='USSR', text='HEY!'}.
[09-04-23 23:38:17.468][info] Got message from server: ChatMessage{chat=Local, author='USSR', text='HEY!'}.
[09-04-23 23:38:18.009][info] Got message from server: ChatMessage{chat=Local, author='USSR', text='HEY YOU!'}.
[09-04-23 23:38:18.388][info] Got message from server: ChatMessage{chat=Local, author='USSR', text='HEY YOU!'}.
[09-04-23 23:38:18.968][info] Got message from server: ChatMessage{chat=Local, author='USSR', text='HEY YOU!'}.
[09-04-23 23:38:19.186][info] Got message from server: ChatMessage{chat=Local, author='USSR', text='OVER HERE!'}.
[09-04-23 23:38:19.453][info] Got message from server: ChatMessage{chat=Local, author='USSR', text='HEY YOU!'}.
[09-04-23 23:38:19.704][info] Got message from server: ChatMessage{chat=Local, author='USSR', text='OVER HERE!'}.
[09-04-23 23:38:20.617][info] Got message from server: ChatMessage{chat=Local, author='USSR', text='OVER HERE!'}.
[09-04-23 23:38:21.409][info] Got message from server: ChatMessage{chat=Local, author='USSR', text='OVER HERE!'}.
[09-04-23 23:38:23.371][info] Got message from server: ChatMessage{chat=Local, author='USSR', text='HEY!'}.
[09-04-23 23:38:23.670][info] Got message from server: ChatMessage{chat=Local, author='USSR', text='OVER HERE!'}.
