DEBUG: General     , 1681768086879> LoggerManager.init                  > Initializing...
LOG  : General     , 1681768087245> cachedir set to "C:\Users\Aleksa\Zomboid"
LOG  : General     , 1681768087266> 17-04-2023 23:48:07
LOG  : General     , 1681768087266> cachedir is "C:\Users\Aleksa\Zomboid"
LOG  : General     , 1681768087267> LogFileDir is "C:\Users\Aleksa\Zomboid\Logs"
LOG  : General     , 1681768087267> ===== System specs =====
LOG  : General     , 1681768087268> OS: Windows 10, version: 10.0, arch: amd64
LOG  : General     , 1681768087269> Processor: AMD64 Family 23 Model 113 Stepping 0, AuthenticAMD
LOG  : General     , 1681768087269> Processor cores: 8
LOG  : General     , 1681768087270> Available processors (cores): 8
LOG  : General     , 1681768087272> Memory free: 236.54153 MB
LOG  : General     , 1681768087272> Memory max: 3072.0 MB
LOG  : General     , 1681768087272> Memory  total available to JVM: 256.0 MB
LOG  : General     , 1681768087275> C:\, Total: 237.86163 GB, Free: 25.410263 GB
LOG  : General     , 1681768087276> E:\, Total: 1782.917 GB, Free: 959.42114 GB
LOG  : General     , 1681768087452> Mobo = [Product=B450M PRO-M2 MAX (MS-7B84)]
LOG  : General     , 1681768087568> CPU = [Manufacturer=AuthenticAMD,MaxClockSpeed=3801,Name=AMD Ryzen 3 3300X 4-Core Processor]
LOG  : General     , 1681768087685> Graphics = [AdapterRAM=4293918720,DriverVersion=31.0.15.3141,Name=NVIDIA GeForce GTX 1660 Ti]
LOG  : General     , 1681768087798> VideoMode = [VideoModeDescription=2560 x 1440 x 4294967296 colors]
LOG  : General     , 1681768087914> Sound = { [Manufacturer=Logitech,Name=Webcam C210], [Manufacturer=NVIDIA,Name=NVIDIA High Definition Audio], [Manufacturer=Valve Corporation Audio DDK,Name=Steam Streaming Microphone], [Manufacturer=Razer,Name=7.1 Surround Sound], [Manufacturer=(Generic USB Audio),Name=USB Audio Device], [Manufacturer=Valve Corporation Audio DDK,Name=Steam Streaming Speakers], [Manufacturer=Realtek,Name=Realtek High Definition Audio], [Manufacturer=NVIDIA,Name=NVIDIA Virtual Audio Device (Wave Extensible) (WDM)] }
LOG  : General     , 1681768088024> Memory RAM = { [Capacity=8589934592,Manufacturer=Kingston], [Capacity=8589934592,Manufacturer=Kingston] }
LOG  : General     , 1681768088024> ========================
LOG  : General     , 1681768088025> -- listing properties --
LOG  : General     , 1681768088025> java.specification.version=17
LOG  : General     , 1681768088025> sun.cpu.isalist=amd64
LOG  : General     , 1681768088025> sun.jnu.encoding=Cp1252
LOG  : General     , 1681768088026> java.class.path=.;commons-compress-1.18.jar;istack-co...
LOG  : General     , 1681768088026> java.vm.vendor=Azul Systems, Inc.
LOG  : General     , 1681768088026> sun.arch.data.model=64
LOG  : General     , 1681768088026> user.variant=
LOG  : General     , 1681768088027> java.vendor.url=http://www.azul.com/
LOG  : General     , 1681768088027> user.timezone=Europe/Podgorica
LOG  : General     , 1681768088027> zomboid.steam=1
LOG  : General     , 1681768088027> user.country.format=ME
LOG  : General     , 1681768088027> java.vm.specification.version=17
LOG  : General     , 1681768088027> os.name=Windows 10
LOG  : General     , 1681768088028> user.country=US
LOG  : General     , 1681768088028> sun.boot.library.path=E:\GAMES\slava rusiji\Project Zomboid...
LOG  : General     , 1681768088028> zomboid.znetlog=1
LOG  : General     , 1681768088028> jdk.debug=release
LOG  : General     , 1681768088028> sun.cpu.endian=little
LOG  : General     , 1681768088029> user.home=C:\Users\Aleksa
LOG  : General     , 1681768088029> user.language=en
LOG  : General     , 1681768088029> java.specification.vendor=Oracle Corporation
LOG  : General     , 1681768088029> java.version.date=2021-10-19
LOG  : General     , 1681768088029> java.home=E:\GAMES\slava rusiji\Project Zomboid...
LOG  : General     , 1681768088030> file.separator=\
LOG  : General     , 1681768088030> java.vm.compressedOopsMode=Zero based
LOG  : General     , 1681768088030> line.separator=

LOG  : General     , 1681768088030> java.vm.specification.vendor=Oracle Corporation
LOG  : General     , 1681768088030> java.specification.name=Java Platform API Specification
LOG  : General     , 1681768088031> java.awt.headless=true
LOG  : General     , 1681768088031> user.script=
LOG  : General     , 1681768088031> user.script.format=Latn
LOG  : General     , 1681768088031> sun.management.compiler=HotSpot 64-Bit Tiered Compilers
LOG  : General     , 1681768088031> java.runtime.version=17.0.1+12-LTS
LOG  : General     , 1681768088032> user.name=Aleksa
LOG  : General     , 1681768088032> path.separator=;
LOG  : General     , 1681768088032> os.version=10.0
LOG  : General     , 1681768088032> java.runtime.name=OpenJDK Runtime Environment
LOG  : General     , 1681768088032> file.encoding=Cp1250
LOG  : General     , 1681768088032> java.vm.name=OpenJDK 64-Bit Server VM
LOG  : General     , 1681768088033> java.vendor.version=Zulu17.30+15-CA
LOG  : General     , 1681768088033> java.vendor.url.bug=http://www.azul.com/support/
